Tue Oct 10 10:28:08 2017 EVMX SNAP-X.ini, CALIBRATION_RETICLE_SERIAL, ,  Reset Lens Data
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, X_LOCATION,      X,      X OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, Y_LOCATION,      Y,      Y OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:48 2017 EVMX Configuration.ini, Z_LOCATION,      Z,      Z OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, R_LOCATION,      R,      R OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, A_LOCATION,      A,      A OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ANGLE,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ANGLE1,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ANGLE2,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ANGLE3,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ANGLE4,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ANGLE_BET,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, DIAMETER,    DIA,    DIA OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, FLATNESS,    FLT,    FLT OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, WIDTH,    WID,    WID OGPuiConfigureOutputTags1Page
